Track_ID,Artist_ID,Artist_Name,Track_Name,Danceability,Energy,Loudness,Valence,Tempo,Popularity_Score
5eKWFYDP72IqdzmZLyu4d4,5gtNVNylJUg6NfvM0LjLtr,Intentional Vibes,Intention,0,0.0465,-27.899,0,0,70
3yXwX4nqtS9G9F8afZh5mk,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Serenade No. 10 in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",0.0618,0.0291,-29.252,0.0411,64.018,0
6PpqrY1QzPLAj4JUOkrS95,25G0894RyKrGyKDqdG1pGu,Alex Couture,Echoes of Your Soul,0.062,0.104,-27.315,0.0346,68.798,63
0Md6JQpeEXKfZCMi1sQPGu,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Serenade No. 10 in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",0.0623,0.0757,-22.673,0.0399,65.366,0
1OXqTngfr9pmDIgcmISa4K,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Serenade No. 10 in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",0.0623,0.0757,-22.673,0.0399,65.366,0
46IsXxYhc4UABRyUI0r1bB,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Serenade No. 10 in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",0.0623,0.0757,-22.673,0.0399,65.366,0
0FhU3excJFVvpeL7f9ksvM,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Toccata and Fugue in D Minor, BWV 565",0.0665,0.181,-17.704,0.112,67.999,0
0MXwDnnoxp34k9f2cHS7So,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Toccata and Fugue in D Minor, BWV 565",0.0665,0.181,-17.704,0.112,67.999,0
1y6sRHJrReh7vZ3uK4qfc8,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Toccata and Fugue in D Minor, BWV 565",0.0665,0.181,-17.704,0.112,67.999,0
3iZfxNgHr5cQuJePScpBt5,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Toccata and Fugue in D Minor, BWV 565",0.0665,0.181,-17.704,0.112,67.999,0
2Y3SIsyRrvj6uGaOhNtMuH,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Die Kunst der Fuge, BWV 1080: X. Contrapunctus 10 a 4 ""Alla Decima""",0.0667,0.195,-12.822,0.194,57.163,0
4gLGllfqvxfh1b388psJXI,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Clarinet Quintet in A Major, K. 581: II. Larghetto",0.0675,0.00413,-30.99,0.0394,72.941,0
1N1PWtlw0KBPwKDP8iMpqb,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Brandenburg Concerto No. 6 in B-Flat Major, BWV 1051: II. Adagio ma non tanto",0.0683,0.0246,-29.321,0.0649,71.194,0
5h9nbgy2oYNQGmuT13Vm63,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Brandenburg Concerto No. 6 in B-Flat Major, BWV 1051: II. Adagio ma non tanto",0.0683,0.0246,-29.321,0.0649,71.194,0
25nequzorJh91V7ObvcUKL,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande",0.0726,0.0156,-28.195,0.0385,76.776,0
7f75uTMUnIBQ71yHWSwtSB,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande",0.0726,0.0156,-28.195,0.0385,76.776,0
2vkUvzntJdDlUIRHbPD8vC,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Mass in B Minor, BWV 232: XVI. Credo: Et incarnatus est",0.074,0.0382,-27.792,0.0333,80.07,0
1EOen3eOUfm4KgT5XwzOpY,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Clarinet Quintet in A Major, K. 581: II. Larghetto",0.0744,0.0357,-27.489,0.0412,78.35,0
2bGkc1X2mzAQNsPeDebArc,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Die Zauberfl??te (The Magic Flute), K. 620, Act II: ""O Isis und Osiris""",0.0747,0.0447,-26.062,0.041,70.602,0
09g7JMQLhGPspMm1hfeqCc,4nvRxWe5SwOuTDQZ500nzo,Voyager,First Bridge,0.0777,0.083,-27.513,0.0394,175.335,70
37bWNUTzhM1DvYyOEXY0rC,5gtNVNylJUg6NfvM0LjLtr,Intentional Vibes,...There You Are!,0.0797,0.032,-28.533,0.0715,62.399,66
6SUIqXAI2F8n3HNvvJgcXC,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"Schm?¬cke dich, o liebe Seele, BWV 180: No. 1, Schm?¬cke dich, o liebe Seele (Live)",0.0811,0.135,-20.018,0.133,73.659,0
4zIRoLWtB6lYByqZ7CxpYe,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Clarinet Concerto in A Major, K. 622: II. Adagio",0.0834,0.0296,-23.829,0.0638,71.517,0
5HOYvC0Wexs75Qqo1h3HxX,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Fantasy in F Minor, K. 608 ""Organ Piece for a Clock""",0.0843,0.145,-17.394,0.0733,73.47,0
4T6gw6RkKoTSL5AjjAcfl1,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"Clarinet Concerto in A Major, K. 622: II. Adagio",0.0889,0.0257,-23.343,0.0404,83.192,0
