Track ID,Artist Name,Track Name,Danceability,Energy,Loudness,Valence,Tempo,Popularity
5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,Con Calma,0.737,0.86,-2.652,0.656,93.989,100
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,0.708,0.418,-10.998,0.578,131.926,98
4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,Sucker,0.842,0.734,-5.065,0.952,137.958,98
4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,"break up with your girlfriend, i'm bored",0.726,0.554,-5.29,0.335,169.999,98
6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani),0.741,0.52,-7.513,0.347,102.998,96
14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings,0.725,0.321,-10.744,0.319,70.142,96
2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD,0.837,0.364,-11.713,0.463,123.984,95
7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Baila Baila Baila,0.816,0.754,-2.75,0.533,99.966,95
5W83ErFkO3aKAIS1WMi6u0,Anuel Aa,Secreto,0.807,0.803,-4.156,0.706,91.987,95
5WHTFyqSii0lmT9R21abT8,Mabel,Don't Call Me Up,0.674,0.881,-2.853,0.234,98.994,95
7COXchtUOMd6uIT6HvmRaI,Lauv,i'm so tired...,0.599,0.733,-7.058,0.534,102.211,95
53CJANUxooaqGOtdsBTh7O,Lil Nas X,Old Town Road,0.908,0.517,-6.063,0.471,136.019,95
3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",0.717,0.653,-5.634,0.412,106.966,94
0rTV5WefWd1J3OwIheTzxM,Khalid,Talk,0.9,0.4,-8.443,0.338,136.001,94
31UjYv5vLsDkzchJOtUMtW,Maluma,HP,0.837,0.791,-3.157,0.618,91.98,94
5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,Giant (with Rag'n'Bone Man),0.807,0.887,-4.311,0.606,122.015,94
6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,0.778,0.317,-10.732,0.327,140.048,94
224EVTFiLsdQignUFLvDeH,Dalex,Pa Mí - Remix,0.688,0.62,-8.029,0.727,170.018,93
1WSGTYKLEpKfNQYYW5Oymt,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",0.541,0.468,-4.039,0.69,95.266,93
5icOoE6VgqFKohjWWNp0Ac,Marshmello,Here With Me,0.791,0.565,-3.933,0.181,99.961,93
6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,Old Town Road - Remix,0.878,0.619,-5.56,0.639,136.041,92
3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,wish you were gay,0.85,0.353,-10.267,0.329,118.071,92
4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,0.888,0.395,-14.645,0.162,120.058,92
0PG9fbaaHFHfre2gUVo7AN,Cardi B,Please Me,0.747,0.57,-6.711,0.65,133.992,92
63cd4JkwGgYJrbOizbfmsp,Mustard,Pure Water (with Migos),0.68,0.559,-5.545,0.137,202.006,92
6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,0.685,0.692,-5.122,0.578,159.966,91
1DUSuNhF8P5vUGNPpQiZa5,Khalid,My Bad,0.645,0.568,-9.127,0.391,84.999,91
6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,all the good girls go to hell,0.741,0.447,-9.015,0.551,184.98,91
43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over,0.454,0.111,-14.038,0.187,124.155,91
5BDP2tky8oMQJPS33frKVp,Sebastian Yatra,Un Año,0.771,0.382,-6.808,0.535,94.931,91
6vWEAOUSxohKxhp0K1BsxL,YNW Melly,Mixed Personalities (feat. Kanye West),0.661,0.44,-9.104,0.352,149.937,91
3Tc57t9l2O8FwQZtQOvPXK,Billie Eilish,my strange addiction,0.938,0.311,-11.206,0.557,100.014,90
3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,you should see me in a crown,0.672,0.552,-10.512,0.259,150.469,90
4QIo4oxwzzafcBWkKjDpXY,Billie Eilish,xanny,0.512,0.128,-17.827,0.0473,109.102,90
3g4UyIcQwutiG0TfW32GnX,Manuel Turizo,Esclavo de Tus Besos,0.805,0.671,-5.316,0.522,90.979,90
4n7jnSxVLd8QioibtTDBDq,Alan Walker,On My Way,0.509,0.689,-4.929,0.297,170.087,89
0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,Last Hurrah,0.514,0.618,-4.585,0.401,84.259,89
7DHApOHsIFo7EyfieArYGE,P!nk,Walk Me Home,0.652,0.453,-6.119,0.432,88.038,89
0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,So Am I,0.684,0.677,-4.034,0.595,130.141,89
6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,Te Robaré,0.673,0.752,-3.572,0.797,175.997,89
6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,0.423,0.123,-18.41,0.0972,137.045,89
6tsOcBnaKgzK22yEiqRh8P,Ariana Grande,MONOPOLY (with Victoria Monét),0.892,0.507,-8.282,0.695,143.96,89
7qEKqBCD2vE5vIBsrUitpD,Billie Eilish,ilomilo,0.86,0.425,-15.158,0.564,120.016,89
4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,Verte Ir,0.857,0.647,-4.152,0.553,95.982,88
0tMSssfxAL2oV8Vri0mFHE,Billie Eilish,listen before i go,0.364,0.0549,-23.237,0.0784,97.534,88
4T4CZ3Q4z3GG7lU720YYhM,Lunay,Soltera,0.778,0.731,-4.325,0.854,91.991,88
6MjNilJCVKJq0LfFvo5jWJ,Juice WRLD,Fast,0.623,0.608,-5.937,0.263,84.98,88
6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,R.I.P. (feat. Rita Ora & Anitta),0.764,0.752,-3.713,0.698,100.066,88
4uTvPEr01pjTbZgl7jcKBD,Ariana Grande,NASA,0.747,0.458,-6.891,0.47,75.029,88
1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,needy,0.647,0.309,-7.948,0.195,87.045,88
2hloaUoRonYssMuqLCBLTX,Ariana Grande,bloodline,0.758,0.665,-5.188,0.643,151.976,88
5Il6Oe7lr5XM7A0cWbVQtr,Ariana Grande,bad idea,0.847,0.579,-5.314,0.569,137.998,87
2XWjPtKdi5sucFYtVav07d,Zedd,365,0.745,0.693,-5.479,0.248,98.039,87
4ZT9FnbFu1PaBfV3itxiqT,Lil Skies,i,0.649,0.453,-7.28,0.431,99.183,87
09oZ9eXQ2fo6YDrPzJqAoP,Khalid,Outta My Head (with John Mayer),0.729,0.545,-7.818,0.514,103.012,87
1OUPXna2MCgAt3VNmXJBtg,Tropkillaz,Bola Rebola,0.834,0.777,-4.538,0.865,129.984,87
39LmTF9RgyakzSYX8txrow,Ariana Grande,imagine,0.729,0.475,-4.985,0.371,62.52,87
6X29iaaazwho3ab7GNue5r,Billie Eilish,8,0.753,0.237,-13.426,0.474,62.442,87
5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,Si Se Da,0.83,0.71,-5.523,0.703,93.977,87
2ktoFujjJtantyMoVdBJlX,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,0.724,0.791,-5.411,0.856,176.011,87
2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,Con Altura,0.882,0.689,-4.027,0.746,97.963,87
1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,No Sleep (feat. Bonn),0.44,0.635,-6.385,0.327,128.133,87
6ZRuF2n1CQxyxxAAWsKJOy,Kehlani,Nights Like This (feat. Ty Dolla $ign),0.61,0.725,-5.131,0.291,146.163,87
3npzogdOEiVsieXmmhBepL,Maren Morris,The Bones,0.612,0.57,-6.642,0.335,77.004,87
08aYFNUTIOMGq93e2VSArQ,Rauw Alejandro,Que Le De,0.77,0.75,-2.715,0.609,99.997,86
4mGdjNMo0RonTlOEb7cYg4,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),0.464,0.852,-3.804,0.233,160.075,86
6Yx181fZzA0YE2EkUsYruq,Why Don't We,Big Plans,0.693,0.604,-5.279,0.651,75.014,86
3wFLWP0FcIqHK1wb1CPthQ,Ariana Grande,fake smile,0.45,0.619,-7.412,0.427,83.3,86
5SHhPFh68OhUmuRPymKX9d,FLETCHER,Undrunk,0.679,0.572,-6.703,0.542,92.859,86
13ZyrkCDmRz5xY3seuAWYk,Juice WRLD,Hear Me Calling,0.699,0.687,-3.997,0.499,88.932,86
4Tvw0lweq9l2JPQKFbpbBQ,David Guetta,Better When You're Gone,0.647,0.795,-3.548,0.409,127.992,85
25F6MWrnFBCXVnpN4n76EK,Logic,Keanu Reeves,0.71,0.888,-6.457,0.816,170.193,85
6eiztdXRkooWsBt2xToMWI,Juice WRLD,Make Believe,0.465,0.84,-4.35,0.672,83.981,85
7pMRoGLEJuFM2wl5pt0R99,Offset,Legacy (feat. Travis Scott & 21 Savage),0.844,0.513,-8.769,0.344,128.085,85
5NPzbTzFxIQPaheZuPhn4f,Paulo Londra,Forever Alone,0.864,0.426,-8.392,0.477,129.954,85
2MJdgSby3DtSS7bUJx2cly,Offset,Red Room,0.936,0.559,-8.591,0.517,112.339,85
3LgWsmilsrWXiPYQFRD0T7,Billie Eilish,goodbye,0.152,0.149,-21.965,0.0484,55.492,85
3Y7a0typ6ik1KscmebXd6D,Sia,No New Friends,0.724,0.702,-4.622,0.688,106.044,85
2vdBo4ALPYbHRUPKgtE5iC,Ariana Grande,ghostin,0.287,0.364,-8.295,0.11,103.777,85
6ya8ejoKgw906Y8LWclqrp,Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),0.671,0.833,-5.152,0.702,79.351,85
0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,Freaky,0.966,0.563,-5.764,0.363,104.991,85
6GSkLS2y4ZnnZsuRAj975K,Marshmello,Project Dreams,0.78,0.828,-2.235,0.786,160.113,85
2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,Never Go Back,0.421,0.653,-4.85,0.733,78.6,84
3KLo7ByvjCNyBrfz5DZ2mO,Rich The Kid,Splashin,0.94,0.384,-8.158,0.37,100.022,84
7o0oY5wRcoV7oPuDhD2J1z,Paloma Mami,Fingías,0.729,0.805,-3.83,0.345,191.994,84
4T652DlATVHe0jdLKaN3Bw,Ariana Grande,in my head,0.662,0.6,-6.402,0.331,134.979,84
7uiBocndm12aKbsdnQ3Scx,Chris Brown,Undecided,0.441,0.527,-5.318,0.589,96.37,84
0fcq51a3gOI6gPvzc0YLsk,Post Malone,Wow. - Remix,0.797,0.64,-6.272,0.486,100.002,84
5WtfUKzXircvW8l5aaVZWT,Julia Michaels,What A Time (feat. Niall Horan),0.518,0.467,-6.184,0.386,132.854,84
7hzlzoOwCZ4D3Ow5YZK4kj,Daya,Insomnia,0.754,0.653,-5.095,0.379,123.084,84
1Kjer1JoWuJGNwGV6Pbgv1,Sebastian Yatra,Cristina,0.649,0.502,-4.368,0.695,87.0,84
3Kuu5vASpXK8oRsxOvau6P,Kygo,Think About You,0.673,0.596,-7.891,0.19,123.969,84
2v5JTeM6hSmi5wWy7jiwrI,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),0.741,0.845,-3.568,0.926,129.939,84
41MCdlvXOl62B7Kv86Bb1v,Juice WRLD,Empty,0.745,0.561,-4.869,0.449,77.557,84
1pfgsjmxVZhoZpeDx6POKv,Galantis,Bones (feat. OneRepublic),0.66,0.788,-5.844,0.494,120.048,84
6qP73DRFGojLuIk1siIhNE,The Rudeboyz,Dile la Verdad,0.886,0.701,-3.504,0.823,103.002,84
507tQXutCPYNFkpOq8tmKF,Zara Larsson,Don't Worry Bout Me,0.752,0.706,-6.274,0.33,125.041,83
45ZGEdLxCZvdMX9jWlsAAx,Why Don't We,I Don't Belong In This Club,0.797,0.543,-5.744,0.164,115.036,83
3mN2DtljBhnrIpc3Nu2pJ8,Lalo Ebratt,Déjate Querer,0.755,0.792,-4.238,0.844,106.014,83
3WRIaWsws011vHMd9uzPjG,Future,First Off (feat. Travis Scott),0.734,0.683,-6.105,0.445,162.038,83
3QmolSZqjjLksTUvZJ6pPS,Jonas Brothers,Cool,0.65,0.619,-5.495,0.657,157.967,83
27356GVuMPFWiJSZCragoM,Ariana Grande,make up,0.671,0.714,-5.373,0.477,105.137,83
2n48BjaFSczfeIG3HaIaPv,Tom Walker,Just You and I,0.567,0.696,-5.416,0.544,92.061,83
1T8IRUJBga0JXioJZvxjBR,Rammstein,DEUTSCHLAND,0.515,0.906,-4.982,0.194,120.132,83
2BkyYZmU4JuWW2sYi9EzpC,Dean Lewis,7 Minutes,0.613,0.739,-6.478,0.712,104.966,83
4AKWHLChPxYdXAB2cHmZB7,Brytiago,Controla,0.758,0.699,-5.636,0.594,90.013,83
3JjaofJ0lCeEsFSZqppzOp,Sean Paul,Contra La Pared,0.828,0.588,-7.14,0.598,94.052,83
5AjINjwKyRvQJhSe2zpPHi,Polo G,Pop Out (feat. Lil TJay),0.861,0.621,-7.106,0.254,83.976,83
4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,Worth It,0.764,0.528,-4.082,0.422,123.936,83
4mUIe9gfsdtsVP2zFIl74x,Juice WRLD,Maze,0.674,0.726,-3.813,0.443,160.067,83
4dTiQezDWmEOWcdCbWVWMp,ScHoolboy Q,Numb Numb Juice,0.886,0.47,-7.756,0.184,156.997,83
32h6yQGn4oAhZ0HRsTMX26,TOMORROW X TOGETHER,CROWN,0.622,0.8,-5.819,0.58,110.977,82
1NHlyKgtR4roNylOhidKSv,Tyga,Girls Have Fun (feat. G-Eazy & Rich The Kid),0.888,0.74,-5.363,0.664,100.003,82
1Pz3QmQFBFuI60rxCQBeW6,The Chainsmokers,Kills You Slowly,0.696,0.429,-8.736,0.242,149.967,82
2VRVV7cvAGPJ2EBU4FIVCz,Farruko,Nadie,0.679,0.617,-5.328,0.665,189.993,82
2qfEcCkEo5NscA9GL7ER72,Martin Jensen,Nobody,0.673,0.687,-5.295,0.524,96.964,82
67fNrBUMc7iWMofdCaoJV9,Blueface,Bleed It,0.845,0.76,-6.007,0.558,101.865,82
18PergoIrGmRyeYxnaXJN2,BLACKPINK,Kill This Love,0.766,0.855,-4.086,0.667,132.022,82
1JkrD47SDpAbyvqKtolcea,Blueface,"Thotiana (feat. Cardi B, YG) [Remix]",0.911,0.721,-4.833,0.69,104.11,82
7njKgVl3AnLflRad38o7AG,Bazzi,Paradise,0.844,0.644,-6.273,0.591,122.061,82
4NSW0Km5ZG60L8FthUebPJ,Jonas Blue,What I Like About You (feat. Theresa Rex),0.46,0.8,-3.584,0.553,102.46,82
7wcyO1rrH3Ru4t659IjG41,Future,Crushed Up,0.781,0.597,-6.794,0.544,158.043,82
5CE0V7z1ePOZQNJNpWxYGA,Logic,Confessions of a Dangerous Mind,0.8,0.762,-4.097,0.645,141.971,82
4JWQC6gyYoPRnxRxk0ta2M,James Bay,Peer Pressure (feat. Julia Michaels),0.631,0.715,-6.083,0.42,135.826,82
5600nq7TiBraBX2jobyJ3l,Dua Lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",0.588,0.821,-6.54,0.509,188.098,82
29uWfSrklmIxzRIqFFK9jj,Khalid,Self,0.618,0.693,-7.889,0.439,143.98,81
7dbka99KTWke5o9hRp0JoB,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.761,0.479,-5.574,0.912,89.913,81
4pN7yDeBmmAud5lBtuCsVs,Darell,Caliente,0.894,0.796,-3.119,0.408,99.993,81
5g45gvxgaYVuhkDACPnvfh,James TW,You & Me,0.714,0.683,-6.333,0.824,127.021,81
3fd5jcZKAzoiivM4ZDwhyU,Louis Tomlinson,Two of Us,0.614,0.605,-5.411,0.329,127.107,81
4DbhxwlkhTbCTqlZptxmI6,Danny Ocean,Swing,0.729,0.616,-6.422,0.532,106.486,81
3jOn1ZdPldABfKQY4JBhov,Kevin Roldan,PPP - Remix,0.803,0.749,-4.358,0.67,93.005,81
1XJ93XskwJf7PCyIVLbNBt,Julia Michaels,Anxiety (with Selena Gomez),0.803,0.384,-6.522,0.503,141.924,81
2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,Feeling,0.712,0.515,-6.004,0.563,160.0,81
2BSbCCbaSCzkOEZa6N5901,Juice WRLD,Flaws And Sins,0.709,0.662,-4.55,0.439,150.046,81
4hqOmrCCJKyiuwDexd8c2t,NAV,Price On My Head (feat. The Weeknd),0.768,0.574,-6.104,0.278,74.949,81
4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,Shotta Flow,0.888,0.43,-6.728,0.45,120.088,81
2vsuel3g4zaLYSOY0mOMbi,Khalid,Bad Luck,0.432,0.52,-5.515,0.303,164.047,81
2XKFnwB6djxrJCjR3PdeRb,Khalid,My Bad,0.577,0.578,-9.146,0.367,84.965,81
6TqXcAFInzjp0bODyvrWEq,Khalid,Talk,0.901,0.4,-8.575,0.346,135.984,81
3jq1RpStaB1YGyN3rRZGca,XXXTENTACION,Sauce!,0.68,0.313,-13.672,0.405,135.034,81
3BXXkwyhsHM0EPApHMhQC5,Gunna,Speed It Up,0.912,0.587,-7.395,0.435,143.027,80
6nDKrPlXdpomGBgAlO7UdP,Avicii,SOS,0.802,0.645,-6.181,0.376,100.001,80
1HNywa8Bk0TmzRwQrzhtPo,John Mayer,I Guess I Just Feel Like,0.556,0.528,-8.033,0.163,159.821,80
0hCHNYL8ApQCGNwJrYN1FY,Lil Skies,Bad Girls (feat. Gucci Mane),0.771,0.761,-4.727,0.277,131.01,80
5A1w94uzc1kO1Zhe8WWxC3,Khalid,Right Back,0.789,0.427,-9.918,0.605,97.032,80
4l0O19WwpjzbDGkdFtkQ6W,Ozuna,Vacia Sin Mi,0.786,0.63,-6.456,0.749,190.017,80
7tGEAA1f8MydT7eVbbO9Zy,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,0.696,0.332,-12.834,0.0628,150.13,80
2kAIpGWnlFLQh48iut6Zzq,Khalid,Free Spirit,0.627,0.446,-9.477,0.11,139.994,80
6Z4rmc0uujCpl8yXe3yjgI,2 Chainz,Whip (feat. Travis Scott),0.793,0.399,-7.428,0.0379,121.949,80
6flur5o18COKeafnjLHRiJ,Lil Pump,Be Like Me (feat. Lil Wayne),0.948,0.396,-8.08,0.593,104.006,80
0onslUNmSLDkuYaideYWir,Lizzo,Juice,0.767,0.891,-3.01,0.824,119.91,80
1E6DEDWDKHoOW0fcFuDghV,Khalid,Don't Pretend,0.697,0.551,-8.833,0.219,89.0,80
7cz506PyIgh2bMN90Mc8Tn,Wiley,Boasty (feat. Idris Elba),0.887,0.765,-5.207,0.456,102.958,80
2drEUEg0TYQR6dDEHkpuPE,Tame Impala,Patience,0.546,0.859,-5.966,0.645,99.965,80
0W5oXFrxZNBTIS1eMW9Ofz,Khalid,Saturday Nights REMIX,0.569,0.414,-8.901,0.35,168.029,80
7Eso5mURNFprb5PmhOXDlf,Juanes,La Plata (feat. Lalo Ebratt),0.762,0.74,-4.72,0.961,167.881,80
5BfMJ6iytQnu1r7iiCYSXe,Khalid,Intro,0.213,0.414,-9.725,0.0553,79.556,79
6fOOKqQWcSy33ApU1wqkkW,Khalid,Paradise,0.581,0.452,-9.558,0.523,75.046,79
4cZ3UsiKd1kUQIaq4BFIj2,Jack & Jack,No One Compares To You,0.7,0.748,-6.044,0.631,111.939,79
4zxpssj8DyrfZcEUSUiNxG,Juice WRLD,Ring Ring (with Rvssian feat. Clever),0.581,0.673,-4.421,0.621,160.073,79
6sR4WtcYJOCXzDsDfY9PwV,Ozuna,Cama Vacia,0.647,0.85,-2.185,0.316,175.797,79
3qLBz3j26AHO2jBYUQWLA6,Drax Project,Woke Up Late (feat. Hailee Steinfeld),0.698,0.66,-5.429,0.351,119.214,79
6PRh0ilIMEP1xlUHqalnkD,Yo Gotti,Put a Date On It (feat. Lil Baby),0.835,0.659,-5.696,0.579,129.93,79
1NgCWYuBLfqBDA3b8MgSVU,Khalid,Twenty One,0.776,0.445,-8.574,0.405,109.981,79
6habFhsOp2NvshLv26DqMb,Luis Fonsi,Despacito,0.655,0.797,-4.787,0.839,177.928,79
1q9jq5X5vwmewjOa2mHtQ1,Gunna,Same Yung Nigga (feat. Playboi Carti),0.852,0.568,-9.202,0.504,81.526,79
4NdXQlDTzxbOMkzJGWFtz3,Lil Pump,Butterfly Doors,0.925,0.397,-11.265,0.429,130.008,79
7gY3cyGcB2wnk2xDXiA0pe,Avril Lavigne,Head Above Water,0.578,0.694,-5.351,0.268,129.921,79
4qQwGRtGT7l6ckQtdPEFd4,Florida Georgia Line,Talk You Out Of It,0.651,0.708,-4.791,0.558,119.964,79
6phY2gnvf9WwCiXlLMQOY3,Juice WRLD,HeMotions,0.561,0.76,-7.194,0.317,163.938,79
0jtTDKt1FRTnKbWtWSGLoy,Bhad Bhabie,Bestie (feat. Kodak Black),0.908,0.625,-4.519,0.613,101.993,79
2O8gSQ9z52tZSLJnuzjkcG,G-Eazy,West Coast,0.843,0.806,-5.156,0.821,97.858,79
6Bc48Fgqgb6j4K6JdkZTNk,Sech,Solita,0.679,0.831,-1.866,0.88,88.792,79
18n2GdCpsHYzkbMKPavE7Y,Little Mix,Think About Us (feat. Ty Dolla $ign),0.511,0.795,-3.714,0.432,175.987,79
0HEckRWFSknIupbGzavk5d,Khalid,Hundred,0.772,0.483,-10.06,0.479,120.005,79
32iPykTXUNZ9oGyACGUybq,Offset,How Did I Get Here (feat. J. Cole),0.883,0.544,-7.92,0.114,129.993,79
