Artist Name,Track Name,Genre,Popularity Score
J. Cole,MIDDLE CHILD,conscious hip hop,96
J. Cole,MIDDLE CHILD,nc hip hop,96
J. Cole,MIDDLE CHILD,pop rap,96
J. Cole,MIDDLE CHILD,rap,96
Billie Eilish,bad guy,electropop,98
Ariana Grande,"break up with your girlfriend, i'm bored",dance pop,98
Ariana Grande,"break up with your girlfriend, i'm bored",pop,98
Ariana Grande,"break up with your girlfriend, i'm bored",post-teen pop,98
Jonas Brothers,Sucker,boy band,98
Jonas Brothers,Sucker,dance pop,98
Jonas Brothers,Sucker,pop,98
Jonas Brothers,Sucker,post-teen pop,98
Mustard,Pure Water (with Migos),cali rap,92
Mustard,Pure Water (with Migos),hip hop,92
Mustard,Pure Water (with Migos),pop,92
Mustard,Pure Water (with Migos),pop rap,92
Mustard,Pure Water (with Migos),rap,92
Mustard,Pure Water (with Migos),southern hip hop,92
Mustard,Pure Water (with Migos),trap music,92
YNW Melly,Mixed Personalities (feat. Kanye West),rap,91
YNW Melly,Mixed Personalities (feat. Kanye West),trap music,91
Juice WRLD,Robbery,chicago rap,91
Khalid,Talk,pop,94
Ariana Grande,7 rings,dance pop,97
Ariana Grande,7 rings,pop,97
Ariana Grande,7 rings,post-teen pop,97
Sam Smith,Dancing With A Stranger (with Normani),pop,96
Sam Smith,Dancing With A Stranger (with Normani),post-teen pop,96
Ariana Grande,"thank u, next",dance pop,94
Ariana Grande,"thank u, next",pop,94
Ariana Grande,"thank u, next",post-teen pop,94
Cardi B,Please Me,pop,92
Cardi B,Please Me,rap,92
Ariana Grande,7 rings,dance pop,94
Ariana Grande,7 rings,pop,94
Ariana Grande,7 rings,post-teen pop,94
Billie Eilish,wish you were gay,electropop,92
Lauv,i'm so tired...,dance pop,95
Lauv,i'm so tired...,pop,95
Lauv,i'm so tired...,post-teen pop,95
Lil Skies,i,trap music,87
Marshmello,Here With Me,brostep,93
Marshmello,Here With Me,egyptian pop,93
Marshmello,Here With Me,progressive electro house,93
Khalid,My Bad,pop,91
Ariana Grande,MONOPOLY (with Victoria Monét),dance pop,88
Ariana Grande,MONOPOLY (with Victoria Monét),pop,88
Ariana Grande,MONOPOLY (with Victoria Monét),post-teen pop,88
Billie Eilish,xanny,electropop,90
Billie Eilish,bury a friend,electropop,92
Billie Eilish,all the good girls go to hell,electropop,91
Billie Eilish,my strange addiction,electropop,90
Billie Eilish,when the party's over,electropop,91
Khalid,Outta My Head (with John Mayer),pop,86
Ariana Grande,needy,dance pop,88
Ariana Grande,needy,pop,88
Ariana Grande,needy,post-teen pop,88
Juice WRLD,Fast,chicago rap,88
Daddy Yankee,Con Calma,latin,100
Daddy Yankee,Con Calma,latin hip hop,100
Daddy Yankee,Con Calma,pop,100
Daddy Yankee,Con Calma,reggaeton,100
Daddy Yankee,Con Calma,tropical,100
Billie Eilish,you should see me in a crown,electropop,89
Ariana Grande,NASA,dance pop,88
Ariana Grande,NASA,pop,88
Ariana Grande,NASA,post-teen pop,88
Billie Eilish,i love you,electropop,88
Billie Eilish,ilomilo,electropop,88
Juice WRLD,Hear Me Calling,chicago rap,86
Juice WRLD,Make Believe,chicago rap,85
Khalid,Bad Luck,pop,80
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",dance pop,93
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",electropop,93
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",pop,93
Billie Eilish,listen before i go,electropop,88
Khalid,Right Back,pop,80
Mabel,Don't Call Me Up,dance pop,95
Mabel,Don't Call Me Up,house,95
Mabel,Don't Call Me Up,pop,95
Mabel,Don't Call Me Up,post-teen pop,95
Mabel,Don't Call Me Up,r&b,95
Mabel,Don't Call Me Up,tropical house,95
Mabel,Don't Call Me Up,uk pop,95
Offset,Legacy (feat. Travis Scott & 21 Savage),atl hip hop,85
Offset,Legacy (feat. Travis Scott & 21 Savage),pop,85
Offset,Legacy (feat. Travis Scott & 21 Savage),pop rap,85
Offset,Legacy (feat. Travis Scott & 21 Savage),rap,85
Offset,Legacy (feat. Travis Scott & 21 Savage),trap music,85
Khalid,Free Spirit,pop,79
Juice WRLD,Empty,chicago rap,85
Khalid,Talk,pop,80
Khalid,My Bad,pop,80
Maren Morris,The Bones,contemporary country,87
Kehlani,Nights Like This (feat. Ty Dolla $ign),dance pop,87
Kehlani,Nights Like This (feat. Ty Dolla $ign),pop,87
Kehlani,Nights Like This (feat. Ty Dolla $ign),post-teen pop,87
Kehlani,Nights Like This (feat. Ty Dolla $ign),r&b,87
Ariana Grande,bloodline,dance pop,88
Ariana Grande,bloodline,pop,88
Ariana Grande,bloodline,post-teen pop,88
Khalid,Intro,pop,79
Ariana Grande,imagine,dance pop,87
Ariana Grande,imagine,pop,87
Ariana Grande,imagine,post-teen pop,87
Khalid,Hundred,pop,79
Khalid,Don't Pretend,pop,79
Khalid,Paradise,pop,78
Khalid,Twenty One,pop,78
Offset,Red Room,atl hip hop,85
Offset,Red Room,pop,85
Offset,Red Room,pop rap,85
Offset,Red Room,rap,85
Offset,Red Room,trap music,85
Logic,Keanu Reeves,conscious hip hop,85
Logic,Keanu Reeves,dmv rap,85
Logic,Keanu Reeves,hip hop,85
Logic,Keanu Reeves,pop rap,85
Logic,Keanu Reeves,rap,85
Khalid,Better,pop,78
Billie Eilish,8,electropop,87
Khalid,Bluffin',pop,77
Ariana Grande,bad idea,dance pop,87
Ariana Grande,bad idea,pop,87
Ariana Grande,bad idea,post-teen pop,87
Khalid,Alive,pop,77
Ozuna,Baila Baila Baila,reggaeton,95
Ozuna,Baila Baila Baila,trap latino,95
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),conscious hip hop,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),gangster rap,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),hip hop,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),pop rap,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),rap,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),southern hip hop,85
Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),trap music,85
Ariana Grande,fake smile,dance pop,86
Ariana Grande,fake smile,pop,86
